İçerik üreticisinin kullanıcı adı,Temsilci,Grup,Son 30 gündeki elmaslar,Son 30 gündeki CANLI Yayın süresi,Takipçiler,Beğeniler,Son 30 günde geçerli CANLI Yayın yapılan günler
@yayinci_ali,Ahmet Yılmaz,Grup A,1250000,85,45000,125000,28
@creator_zeynep,Ahmet Yılmaz,Grup A,980000,72,38000,98000,25
@tiktok_can,Ahmet Yılmaz,Grup A,1450000,95,52000,145000,30
@live_mert,Ahmet Yılmaz,Grup A,720000,55,28000,72000,22
@star_elif,Ahmet Yılmaz,Grup A,890000,68,35000,89000,24
@super_burak,Mehmet Demir,Grup A,1680000,110,68000,180000,32
@mega_selin,Mehmet Demir,Grup A,1120000,82,42000,112000,27
@pro_emre,Mehmet Demir,Grup A,950000,70,36000,95000,25
@gold_ayse,Mehmet Demir,Grup A,1320000,88,48000,132000,29
@diamond_cem,Mehmet Demir,Grup B,780000,62,30000,78000,23
@flash_deniz,Ayşe Kaya,Grup B,1580000,105,62000,158000,31
@rocket_gizem,Ayşe Kaya,Grup B,1420000,92,55000,142000,29
@thunder_hakan,Ayşe Kaya,Grup B,680000,52,26000,68000,20
@storm_irmak,Ayşe Kaya,Grup B,1050000,78,40000,105000,26
@fire_kerem,Ayşe Kaya,Grup B,890000,65,34000,89000,24
@ice_lale,Fatma Öz,Grup B,1720000,115,72000,175000,33
@wind_murat,Fatma Öz,Grup C,1280000,86,46000,128000,28
@earth_naz,Fatma Öz,Grup C,920000,68,36000,92000,25
@water_ozan,Fatma Öz,Grup C,1150000,80,44000,115000,27
@sky_pelin,Fatma Öz,Grup C,650000,48,24000,65000,19
@moon_riza,Ali Veli,Grup C,1480000,98,58000,148000,30
@sun_seda,Ali Veli,Grup C,1350000,90,50000,135000,29
@cloud_tolga,Ali Veli,Grup C,780000,58,29000,78000,22
@rain_umut,Ali Veli,Grup D,1080000,76,41000,108000,26
@snow_vildan,Ali Veli,Grup D,920000,70,35000,92000,24
@leaf_yusuf,Zeynep Ak,Grup D,1620000,108,65000,165000,32
@flower_zara,Zeynep Ak,Grup D,1380000,92,52000,138000,29
@tree_alperen,Zeynep Ak,Grup D,850000,63,32000,85000,23
@river_betul,Zeynep Ak,Grup D,1180000,82,45000,118000,27
@ocean_cem,Zeynep Ak,Grup D,720000,55,27000,72000,21
@wave_defne,Can Yıldız,Grup E,1520000,100,60000,155000,31
@breeze_ege,Can Yıldız,Grup E,1280000,85,48000,130000,28
@sunset_furkan,Can Yıldız,Grup E,980000,72,38000,98000,25
@sunrise_gul,Can Yıldız,Grup E,1420000,95,54000,145000,30
@dawn_harun,Can Yıldız,Grup E,680000,50,25000,68000,20
@dusk_ipek,Elif Şen,Grup E,1750000,118,75000,180000,34
@twilight_jem,Elif Şen,Grup F,1480000,98,58000,150000,30
@midnight_kagan,Elif Şen,Grup F,1120000,78,42000,115000,26
@noon_lara,Elif Şen,Grup F,920000,68,35000,95000,24
@morning_melih,Elif Şen,Grup F,1350000,90,52000,138000,29
@evening_neslihan,Burak Tan,Grup F,1680000,112,70000,172000,33
@night_onur,Burak Tan,Grup F,1250000,84,47000,128000,28
@day_pinar,Burak Tan,Grup F,880000,65,33000,90000,23
@hour_reyhan,Burak Tan,Grup G,1520000,102,62000,155000,31
@minute_selim,Burak Tan,Grup G,750000,56,28000,75000,21
@second_tugba,Selin Kara,Grup G,1420000,95,55000,145000,30
@moment_ufuk,Selin Kara,Grup G,1180000,80,44000,120000,27
@instant_vefa,Selin Kara,Grup G,980000,72,37000,100000,25
@forever_yagmur,Selin Kara,Grup G,1650000,110,68000,170000,32
@always_zafer,Selin Kara,Grup H,850000,62,31000,88000,23
@never_ada,Kerem Yurt,Grup H,1380000,92,53000,142000,29
@sometimes_bora,Kerem Yurt,Grup H,1080000,76,40000,110000,26
@often_ceren,Kerem Yurt,Grup H,720000,52,26000,74000,20
@rarely_derin,Kerem Yurt,Grup H,1280000,86,48000,132000,28
@usually_ece,Kerem Yurt,Grup H,950000,70,36000,98000,24
@maybe_ferhat,Deniz Su,Grup A,1580000,105,63000,162000,31
@perhaps_gamze,Deniz Su,Grup A,1320000,88,50000,135000,28
@certainly_halil,Deniz Su,Grup B,880000,64,33000,90000,23
@definitely_ilayda,Deniz Su,Grup B,1450000,96,56000,148000,30
@possibly_koray,Deniz Su,Grup C,1050000,75,39000,108000,25
